UserId	CurrentLocation	RecentVisit	Age	Gender
0FA6B70B3C9760E529C8A2583D2461A5	San Jose, California, US	San Jose, California, US#TAB#Santa Clara, California, US#TAB#Mountain View, California, US 	55	Female
54212996E42B60379E3F334FFFFFFFFF	Ashburn, Virginia, US	Ashburn, Virginia, US#TAB#Greensboro, North Carolina, US 	21 	None
794F81383C36D450B2E633EFFFFFFFFF	Redmond, Washington, US	Redmond, Washington, US#TAB#Bellevue, Washington, US#TAB#Newcastle, Washington, US 	46	Male
801BEF6D23662059D0FD7729FFFFFFFF	Kochville, Michigan, US	Freeland, Michigan, US#TAB#Tittabawassee, Michigan, US#TAB#Kochville, Michigan, US#TAB#Chicago, Illinois, US#TAB#Frankenlust, Michigan, US 	24	None
8B2DF84CE0C9C6747A8002C6FFFFFFFF	Redmond, Washington, US	Redmond, Washington, US#TAB#Bellevue, Washington, US#TAB#Washington, US#TAB#Moses Lake, Washington, US#TAB#Medina, Washington, US 	45	None
FF1353FD90160A498CB97B5CFFFFFFFF	Redmond, Washington, US	Moses Lake, Washington, US#TAB#Sammamish, Washington, US#TAB#Redmond, Washington, US#TAB#Santa Clara, California, US#TAB#Mountain View, California, US 	56	Female
